label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
YES,0.0,0.0,0.0,-0.155298,-0.092203,-0.046459,-0.273634,-0.240439,-0.072421,-0.337941,-0.378919,-0.098698,-0.399323,-0.475857,-0.125445,-0.170116,-0.509286,-0.025005,-0.207214,-0.697348,-0.061147,-0.221393,-0.815759,-0.097667,-0.22889,-0.923197,-0.126906,-0.077343,-0.534848,-0.03501,-0.074663,-0.746944,-0.064188,-0.068049,-0.880614,-0.0944,-0.060228,-0.990973,-0.119768,0.00914,-0.510173,-0.054417,0.017693,-0.704209,-0.084447,0.023452,-0.828643,-0.112281,0.026665,-0.932493,-0.133575,0.090943,-0.450228,-0.079856,0.115699,-0.6042,-0.103002,0.128216,-0.707053,-0.116979,0.140065,-0.799701,-0.128773
YES,0.0,0.0,0.0,-0.153598,-0.086254,-0.04971,-0.273194,-0.230962,-0.076362,-0.34151,-0.366165,-0.103096,-0.404653,-0.463542,-0.130532,-0.172895,-0.503399,-0.024926,-0.212243,-0.690548,-0.062153,-0.227355,-0.810451,-0.10001,-0.234436,-0.920683,-0.13035,-0.079347,-0.531185,-0.033649,-0.080571,-0.74266,-0.063716,-0.07744,-0.875706,-0.096071,-0.070562,-0.989846,-0.123393,0.007663,-0.508955,-0.052106,0.014079,-0.700315,-0.083127,0.016738,-0.824992,-0.112476,0.01758,-0.932814,-0.135115,0.089557,-0.451612,-0.076909,0.113009,-0.603382,-0.100556,0.124039,-0.705055,-0.115239,0.133692,-0.798684,-0.127945
YES,0.0,0.0,0.0,-0.154846,-0.073309,-0.060348,-0.270066,-0.203748,-0.103558,-0.344304,-0.330602,-0.143646,-0.414523,-0.429691,-0.185186,-0.161669,-0.462504,-0.071084,-0.199514,-0.656966,-0.122182,-0.218424,-0.777595,-0.164628,-0.22759,-0.88895,-0.195787,-0.069878,-0.486404,-0.07726,-0.070362,-0.706649,-0.118638,-0.069966,-0.852839,-0.154728,-0.063503,-0.981091,-0.182834,0.016391,-0.458945,-0.091109,0.024365,-0.665252,-0.131383,0.026736,-0.798634,-0.16679,0.028548,-0.91221,-0.192061,0.097317,-0.3997,-0.110435,0.129636,-0.556258,-0.145066,0.144939,-0.658151,-0.166092,0.155205,-0.75045,-0.180958
YES,0.0,0.0,0.0,-0.148658,-0.074794,-0.066848,-0.264695,-0.219851,-0.116153,-0.346346,-0.346002,-0.161977,-0.430196,-0.444646,-0.210631,-0.154085,-0.462384,-0.08459,-0.1855,-0.641626,-0.1444,-0.203956,-0.755329,-0.193127,-0.213111,-0.866081,-0.229944,-0.049968,-0.482193,-0.094974,-0.041846,-0.697929,-0.144446,-0.038067,-0.84082,-0.186295,-0.029739,-0.975146,-0.219559,0.044483,-0.443928,-0.113046,0.064015,-0.648394,-0.163761,0.072519,-0.772056,-0.198513,0.077563,-0.891476,-0.223951,0.128701,-0.366185,-0.136637,0.167333,-0.510953,-0.180199,0.187584,-0.60037,-0.198467,0.200566,-0.688461,-0.211733
YES,0.0,0.0,0.0,-0.177778,-0.068596,-0.084248,-0.325991,-0.223968,-0.144672,-0.442454,-0.358217,-0.199646,-0.555456,-0.465606,-0.257228,-0.192404,-0.472988,-0.10384,-0.224922,-0.643165,-0.172656,-0.249615,-0.74011,-0.228376,-0.270278,-0.837433,-0.270469,-0.06524,-0.493663,-0.111836,-0.054164,-0.707382,-0.165139,-0.048066,-0.83858,-0.213587,-0.037257,-0.96613,-0.255352,0.050875,-0.44564,-0.129401,0.06755,-0.62436,-0.193125,0.085685,-0.732929,-0.238815,0.101194,-0.842786,-0.27328,0.153291,-0.355964,-0.15317,0.19987,-0.479355,-0.210832,0.237023,-0.540319,-0.23709,0.267044,-0.601805,-0.257483
YES,0.0,0.0,0.0,-0.188291,-0.071063,-0.08662,-0.343917,-0.224668,-0.147907,-0.463859,-0.359617,-0.203857,-0.580637,-0.467233,-0.262354,-0.206876,-0.479416,-0.102831,-0.242108,-0.649531,-0.168071,-0.265819,-0.747418,-0.22189,-0.285811,-0.846324,-0.263113,-0.074027,-0.500883,-0.109055,-0.064859,-0.710904,-0.157119,-0.05896,-0.83998,-0.202628,-0.047826,-0.968637,-0.243833,0.046036,-0.453522,-0.125044,0.062627,-0.634114,-0.183063,0.081246,-0.740021,-0.225669,0.097263,-0.848813,-0.259484,0.149144,-0.364161,-0.147981,0.198031,-0.486287,-0.201881,0.238088,-0.542726,-0.225994,0.271563,-0.600197,-0.245395
YES,0.0,0.0,0.0,-0.171562,-0.07357,-0.075552,-0.309698,-0.231174,-0.13217,-0.420514,-0.360172,-0.184335,-0.526319,-0.455727,-0.23993,-0.182842,-0.461635,-0.10378,-0.215962,-0.636993,-0.16852,-0.238838,-0.744777,-0.220868,-0.253819,-0.852981,-0.261226,-0.063055,-0.48162,-0.114251,-0.053112,-0.696611,-0.165975,-0.047244,-0.83781,-0.210408,-0.03535,-0.968017,-0.248381,0.046698,-0.438542,-0.132577,0.066966,-0.648395,-0.190906,0.080913,-0.771319,-0.231833,0.090058,-0.887677,-0.263351,0.144584,-0.353463,-0.156455,0.194127,-0.489061,-0.210781,0.224796,-0.56501,-0.234739,0.244141,-0.635178,-0.253002
YES,0.0,0.0,0.0,-0.153341,-0.072984,-0.080811,-0.275336,-0.208951,-0.140248,-0.363724,-0.339264,-0.193632,-0.44482,-0.445534,-0.249083,-0.160314,-0.451502,-0.1055,-0.193801,-0.632611,-0.173533,-0.212609,-0.753299,-0.227895,-0.220946,-0.866766,-0.267555,-0.057805,-0.476601,-0.108225,-0.05374,-0.691215,-0.162603,-0.052898,-0.837673,-0.205256,-0.046182,-0.970062,-0.238427,0.03735,-0.443887,-0.119473,0.04774,-0.650654,-0.170958,0.053933,-0.781799,-0.20632,0.058894,-0.899454,-0.232061,0.122493,-0.370732,-0.13774,0.157876,-0.516417,-0.182245,0.17512,-0.60909,-0.202925,0.185218,-0.694087,-0.217268
YES,0.0,0.0,0.0,-0.148577,-0.074724,-0.062961,-0.265596,-0.201607,-0.107347,-0.342674,-0.32497,-0.148041,-0.41171,-0.424281,-0.189212,-0.168024,-0.472241,-0.072118,-0.210105,-0.663403,-0.123815,-0.228074,-0.78346,-0.166619,-0.235108,-0.893233,-0.198372,-0.075646,-0.499695,-0.077441,-0.076689,-0.714939,-0.119521,-0.076591,-0.855138,-0.153937,-0.072477,-0.980869,-0.180674,0.010976,-0.474499,-0.090786,0.018147,-0.67671,-0.129673,0.020585,-0.803329,-0.159062,0.020897,-0.916909,-0.180341,0.091176,-0.414037,-0.110351,0.116896,-0.568667,-0.142484,0.126681,-0.670467,-0.158828,0.131181,-0.767016,-0.170318
YES,0.0,0.0,0.0,-0.162283,-0.074404,-0.050586,-0.28632,-0.211303,-0.078709,-0.359542,-0.345536,-0.105822,-0.425984,-0.438389,-0.133583,-0.183928,-0.48813,-0.030513,-0.226522,-0.676693,-0.066706,-0.243668,-0.796261,-0.103551,-0.252236,-0.906822,-0.13346,-0.092491,-0.519821,-0.03821,-0.093854,-0.731402,-0.067424,-0.092245,-0.868184,-0.099889,-0.08759,-0.988001,-0.127211,-0.006667,-0.50065,-0.055035,-0.002134,-0.695695,-0.085076,-0.000867,-0.826008,-0.116661,-0.001504,-0.941175,-0.141036,0.07456,-0.446634,-0.077805,0.095099,-0.599112,-0.101869,0.102586,-0.703844,-0.118449,0.108859,-0.802033,-0.132341
YES,0.0,0.0,0.0,-0.160297,-0.07689,-0.048545,-0.285553,-0.212914,-0.075217,-0.3643,-0.346825,-0.101352,-0.430484,-0.440818,-0.127892,-0.188152,-0.490415,-0.026355,-0.233043,-0.681733,-0.061551,-0.251672,-0.800681,-0.097666,-0.260716,-0.90957,-0.126744,-0.097736,-0.527813,-0.03439,-0.103304,-0.740714,-0.061074,-0.101849,-0.875809,-0.090637,-0.097177,-0.988458,-0.116221,-0.011962,-0.514531,-0.051785,-0.008906,-0.707865,-0.07826,-0.010294,-0.831239,-0.106318,-0.013578,-0.938107,-0.128856,0.069411,-0.466243,-0.075386,0.088843,-0.620481,-0.096543,0.095754,-0.723203,-0.110869,0.101591,-0.817357,-0.123348
YES,0.0,0.0,0.0,-0.156485,-0.075994,-0.053058,-0.280496,-0.208207,-0.083642,-0.355437,-0.338672,-0.113397,-0.422165,-0.429137,-0.143631,-0.187896,-0.48648,-0.034334,-0.233303,-0.673039,-0.0744,-0.251781,-0.793265,-0.113538,-0.26201,-0.904081,-0.144346,-0.096006,-0.520675,-0.041963,-0.099716,-0.731883,-0.07382,-0.100053,-0.868327,-0.106537,-0.098554,-0.986108,-0.13371,-0.009727,-0.505617,-0.059014,-0.005962,-0.699602,-0.090247,-0.006355,-0.828427,-0.120794,-0.010416,-0.940494,-0.144043,0.071383,-0.456109,-0.082428,0.090914,-0.609233,-0.106671,0.097674,-0.714088,-0.122005,0.101359,-0.809568,-0.134659
YES,0.0,0.0,0.0,-0.14911,-0.067605,-0.062731,-0.266235,-0.192388,-0.106504,-0.344236,-0.318154,-0.146905,-0.413021,-0.419194,-0.187647,-0.174784,-0.466849,-0.069018,-0.217987,-0.656701,-0.119693,-0.237393,-0.774612,-0.162371,-0.247212,-0.883577,-0.194238,-0.084185,-0.498419,-0.074435,-0.090273,-0.713585,-0.115593,-0.093703,-0.853539,-0.150451,-0.09359,-0.979656,-0.177525,0.00297,-0.4774,-0.088014,0.005935,-0.681315,-0.126182,0.004673,-0.809984,-0.156939,0.00083,-0.925451,-0.179249,0.084949,-0.422001,-0.107809,0.107836,-0.579645,-0.139223,0.116137,-0.68129,-0.156346,0.118731,-0.776273,-0.168542
YES,0.0,0.0,0.0,-0.156955,-0.065201,-0.073646,-0.281776,-0.204761,-0.124032,-0.369839,-0.337603,-0.16948,-0.451311,-0.440928,-0.216475,-0.172884,-0.45252,-0.085474,-0.210327,-0.633453,-0.144511,-0.231339,-0.752485,-0.193228,-0.241916,-0.863883,-0.22945,-0.071711,-0.483509,-0.088803,-0.069867,-0.702439,-0.13362,-0.070822,-0.848682,-0.170143,-0.068308,-0.977515,-0.199495,0.022759,-0.456269,-0.100901,0.03331,-0.663516,-0.144678,0.036567,-0.791455,-0.174368,0.036348,-0.905827,-0.196286,0.10877,-0.388261,-0.120002,0.144561,-0.535956,-0.157123,0.161043,-0.631571,-0.173735,0.169863,-0.719828,-0.185728
YES,0.0,0.0,0.0,-0.166204,-0.06991,-0.074487,-0.303314,-0.219811,-0.127031,-0.40166,-0.356264,-0.17486,-0.500149,-0.461259,-0.225412,-0.181596,-0.475274,-0.087618,-0.216979,-0.644816,-0.143983,-0.236955,-0.74995,-0.1927,-0.248217,-0.859366,-0.232,-0.064639,-0.501261,-0.095929,-0.056283,-0.718391,-0.138352,-0.051271,-0.848239,-0.177543,-0.041734,-0.976301,-0.212356,0.042039,-0.462562,-0.112515,0.061268,-0.666767,-0.158823,0.074799,-0.785513,-0.19162,0.083946,-0.903561,-0.219131,0.138168,-0.380051,-0.135703,0.179206,-0.515457,-0.178067,0.205484,-0.600392,-0.196055,0.22421,-0.687753,-0.211202
YES,0.0,0.0,0.0,-0.177316,-0.070501,-0.083027,-0.321591,-0.23256,-0.138043,-0.423149,-0.373543,-0.187456,-0.526308,-0.479268,-0.239393,-0.184149,-0.481349,-0.09608,-0.218565,-0.646128,-0.156152,-0.234358,-0.745721,-0.207095,-0.23974,-0.850487,-0.248441,-0.060348,-0.506291,-0.10221,-0.052256,-0.717125,-0.149914,-0.045224,-0.843685,-0.192035,-0.030884,-0.972737,-0.229845,0.051273,-0.464177,-0.117707,0.072541,-0.659903,-0.172112,0.088881,-0.774526,-0.20899,0.102991,-0.892897,-0.238854,0.150412,-0.376136,-0.140433,0.19714,-0.5095,-0.190558,0.230362,-0.591271,-0.213611,0.257524,-0.676057,-0.232672
YES,0.0,0.0,0.0,-0.177009,-0.072059,-0.078177,-0.318716,-0.229934,-0.131411,-0.419474,-0.367492,-0.179843,-0.519013,-0.469141,-0.231098,-0.190179,-0.470067,-0.092252,-0.223811,-0.636335,-0.152465,-0.239779,-0.740121,-0.204261,-0.24585,-0.84814,-0.245856,-0.069635,-0.49589,-0.100202,-0.059776,-0.708804,-0.146854,-0.055323,-0.84189,-0.188469,-0.045888,-0.973089,-0.225816,0.039131,-0.457946,-0.117215,0.06027,-0.660138,-0.169267,0.072672,-0.780469,-0.204861,0.080906,-0.900023,-0.234163,0.136058,-0.374719,-0.141246,0.183071,-0.509673,-0.18977,0.210923,-0.595863,-0.212047,0.230424,-0.682785,-0.230658
YES,0.0,0.0,0.0,-0.158379,-0.063286,-0.073614,-0.279843,-0.195364,-0.123123,-0.361175,-0.328845,-0.167146,-0.434351,-0.438482,-0.211777,-0.174753,-0.460875,-0.079481,-0.211535,-0.651921,-0.1375,-0.232872,-0.774618,-0.186245,-0.246084,-0.886655,-0.222217,-0.077926,-0.491769,-0.080844,-0.074036,-0.709278,-0.125672,-0.075799,-0.852783,-0.16341,-0.076906,-0.978193,-0.192935,0.010595,-0.466932,-0.091455,0.022133,-0.671175,-0.132652,0.024025,-0.796672,-0.162413,0.019643,-0.907364,-0.184684,0.091425,-0.402817,-0.109202,0.119299,-0.550534,-0.144321,0.126304,-0.646106,-0.161135,0.125152,-0.733214,-0.173061
YES,0.0,0.0,0.0,-0.161146,-0.078133,-0.052268,-0.288259,-0.212148,-0.083401,-0.363193,-0.346738,-0.114119,-0.423832,-0.449473,-0.144511,-0.194066,-0.498143,-0.030007,-0.242521,-0.687344,-0.069636,-0.264615,-0.802921,-0.107454,-0.280496,-0.907124,-0.136138,-0.102038,-0.535827,-0.036505,-0.117591,-0.749643,-0.064345,-0.125073,-0.879758,-0.091816,-0.130478,-0.984782,-0.114805,-0.014057,-0.521794,-0.053237,-0.022135,-0.719535,-0.078688,-0.029526,-0.840747,-0.101615,-0.038024,-0.940945,-0.119728,0.071999,-0.471102,-0.076984,0.074766,-0.636441,-0.097522,0.071615,-0.742456,-0.108863,0.068922,-0.836822,-0.117707
YES,0.0,0.0,0.0,-0.161873,-0.07613,-0.058914,-0.292237,-0.204389,-0.09098,-0.370081,-0.341803,-0.121527,-0.430666,-0.445103,-0.150982,-0.200425,-0.493656,-0.031143,-0.248995,-0.685815,-0.070552,-0.268515,-0.796438,-0.108215,-0.28108,-0.897812,-0.136013,-0.107915,-0.533211,-0.033506,-0.12754,-0.750018,-0.059163,-0.136197,-0.879797,-0.08511,-0.142199,-0.984069,-0.106714,-0.018175,-0.523188,-0.047255,-0.031149,-0.718675,-0.072519,-0.041024,-0.839089,-0.095494,-0.051085,-0.938481,-0.112814,0.06903,-0.479442,-0.068758,0.070409,-0.642197,-0.088924,0.067429,-0.743285,-0.10039,0.065719,-0.833669,-0.10897
YES,0.0,0.0,0.0,-0.159978,-0.074668,-0.057027,-0.289348,-0.209287,-0.08717,-0.367386,-0.345897,-0.116002,-0.429464,-0.447819,-0.143659,-0.196828,-0.495159,-0.028363,-0.242398,-0.69008,-0.065566,-0.259158,-0.801517,-0.102039,-0.270725,-0.902829,-0.129721,-0.107219,-0.532743,-0.031644,-0.126564,-0.750224,-0.056655,-0.136248,-0.879481,-0.083719,-0.14349,-0.983883,-0.1067,-0.019787,-0.522532,-0.045973,-0.032843,-0.718882,-0.069843,-0.043563,-0.837939,-0.094129,-0.054964,-0.93742,-0.113349,0.065695,-0.479139,-0.06792,0.066131,-0.641879,-0.08661,0.061233,-0.741475,-0.098569,0.057177,-0.830877,-0.10853
YES,0.0,0.0,0.0,-0.148478,-0.062861,-0.065716,-0.265853,-0.193115,-0.105956,-0.34631,-0.320708,-0.142498,-0.418557,-0.415614,-0.179272,-0.174964,-0.473217,-0.059209,-0.208838,-0.669388,-0.104719,-0.223568,-0.791967,-0.145274,-0.231222,-0.901511,-0.176464,-0.087731,-0.506666,-0.060815,-0.097909,-0.722079,-0.096095,-0.105923,-0.861441,-0.129096,-0.111499,-0.981441,-0.156019,-0.003614,-0.489763,-0.071566,-0.004028,-0.693986,-0.103942,-0.010563,-0.818669,-0.13201,-0.020385,-0.927113,-0.153763,0.078617,-0.439002,-0.08956,0.090899,-0.600054,-0.118304,0.090045,-0.704491,-0.135676,0.085193,-0.801191,-0.148753
YES,0.0,0.0,0.0,-0.197367,-0.049896,-0.098069,-0.367061,-0.213276,-0.174816,-0.50999,-0.361364,-0.249379,-0.642388,-0.46195,-0.323556,-0.220555,-0.474499,-0.108592,-0.253929,-0.589197,-0.220855,-0.237105,-0.542872,-0.306525,-0.207199,-0.464264,-0.355305,-0.071086,-0.522381,-0.118097,-0.046032,-0.740607,-0.194215,-0.034049,-0.83209,-0.249031,-0.017087,-0.884044,-0.291646,0.06082,-0.509599,-0.144505,0.097764,-0.736281,-0.214206,0.107973,-0.855447,-0.252137,0.112753,-0.953447,-0.279689,0.176465,-0.448041,-0.180169,0.230221,-0.636133,-0.225242,0.251999,-0.74324,-0.237681,0.261202,-0.844402,-0.249619
YES,0.0,0.0,0.0,-0.234405,-0.031648,-0.135656,-0.441478,-0.209856,-0.233276,-0.602255,-0.383901,-0.322812,-0.754503,-0.509544,-0.413631,-0.262981,-0.471545,-0.201357,-0.290639,-0.632728,-0.332772,-0.267734,-0.569619,-0.423117,-0.220712,-0.509902,-0.481412,-0.093634,-0.505999,-0.205574,-0.088429,-0.717281,-0.304453,-0.066042,-0.805456,-0.371222,-0.012645,-0.889439,-0.431995,0.059517,-0.474191,-0.225757,0.091753,-0.673889,-0.328427,0.122476,-0.777851,-0.38279,0.166985,-0.877546,-0.425864,0.196048,-0.398499,-0.256983,0.25376,-0.571194,-0.3344,0.297594,-0.649378,-0.365405,0.34338,-0.733635,-0.394458
YES,0.0,0.0,0.0,-0.233385,-0.036934,-0.134056,-0.438989,-0.208831,-0.230585,-0.596058,-0.380333,-0.318875,-0.742167,-0.515205,-0.409942,-0.263096,-0.467282,-0.192456,-0.300844,-0.632698,-0.317586,-0.284068,-0.626182,-0.409325,-0.241302,-0.608359,-0.470947,-0.098268,-0.514414,-0.194585,-0.096193,-0.725436,-0.288401,-0.072329,-0.825169,-0.356077,-0.021347,-0.90839,-0.417578,0.051002,-0.489633,-0.212006,0.081588,-0.692096,-0.308212,0.115224,-0.79072,-0.361915,0.15884,-0.876566,-0.405228,0.184729,-0.415631,-0.240791,0.24458,-0.583614,-0.314595,0.28908,-0.6514,-0.345304,0.332302,-0.719449,-0.374089
YES,0.0,0.0,0.0,-0.224913,-0.052574,-0.110151,-0.417076,-0.22462,-0.193365,-0.5613,-0.392813,-0.272401,-0.700895,-0.514786,-0.352253,-0.24964,-0.476488,-0.139377,-0.288993,-0.662791,-0.2499,-0.277967,-0.684037,-0.333373,-0.243808,-0.675612,-0.386481,-0.090186,-0.51324,-0.146698,-0.079936,-0.732985,-0.223184,-0.056107,-0.850113,-0.280581,-0.010538,-0.943403,-0.331481,0.054467,-0.483515,-0.169745,0.086625,-0.692824,-0.247982,0.118104,-0.804825,-0.287241,0.153879,-0.901224,-0.318467,0.183893,-0.410175,-0.203004,0.243053,-0.579095,-0.261685,0.281706,-0.660359,-0.279387,0.312876,-0.735616,-0.29593
YES,0.0,0.0,0.0,-0.158572,-0.06992,-0.073769,-0.283734,-0.220406,-0.124503,-0.377547,-0.349746,-0.170348,-0.475354,-0.43541,-0.219248,-0.183807,-0.454869,-0.095826,-0.217223,-0.648943,-0.156863,-0.228649,-0.778177,-0.205237,-0.230199,-0.893839,-0.241673,-0.073468,-0.482358,-0.101092,-0.069471,-0.700751,-0.149947,-0.067526,-0.846723,-0.188496,-0.061891,-0.973452,-0.220365,0.028005,-0.453378,-0.114319,0.043484,-0.657108,-0.160644,0.048619,-0.786034,-0.19177,0.048308,-0.901996,-0.216239,0.120127,-0.383652,-0.134471,0.15555,-0.53428,-0.174143,0.168407,-0.631592,-0.192228,0.171591,-0.720895,-0.206759
